"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Comments API","4","0","Email validation in comments","0"
"0","","0","Users API","12","0","User data validation","0"
"0","","0","Comments API","5","0","Comments and posts relationship","0"
"0","","0","Posts API","2","0","Get post by ID","0"
"0","","0","Users API","2","0","Get all users","0"
"0","","0","Posts API","1","0","Update post","0"
"0","","0","Posts API","8","0","Parameterized tests","0"
"0","","0","Comments API","7","0","Comment structure validation","0"
"0","","0","Users API","5","0","User address validation","0"
"0","","0","Comments API","1","0","Get comments by query","0"
"0","","0","Comments API","1","0","Get post comments","0"
"0","","0","Posts API","1","0","Get all posts","0"
"0","","0","Posts API","1","0","Delete post","0"
"0","","0","Users API","1","0","Get user by ID","0"
"0","","0","Posts API","1","0","Create post","0"
