"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that all users have valid email addresses.","96","test_all_users_have_valid_emails","tests","2026-01-19","passed","2026-01-19","TestGetAllUsers","test_users","",""
"Test that all users have valid address structure.","97","test_all_users_have_valid_address_structure[1]","tests","2026-01-19","passed","2026-01-19","TestUserAddress","test_users","",""
"Test getting all users returns 200 and valid data.","469","test_get_all_users_success","tests","2026-01-19","passed","2026-01-19","TestGetAllUsers","test_users","",""
"Test user address has correct structure.","102","test_user_address_structure","tests","2026-01-19","passed","2026-01-19","TestUserAddress","test_users","",""
"Test that all users have valid address structure.","100","test_all_users_have_valid_address_structure[2]","tests","2026-01-19","passed","2026-01-19","TestUserAddress","test_users","",""
"Test that comments are properly linked to their posts.","188","test_comments_belong_to_existing_post","tests","2026-01-19","passed","2026-01-19","TestCommentsPostsRelationship","test_comments","",""
"Test that each user ID returns a unique user.","97","test_each_user_has_unique_id[8]","tests","2026-01-19","passed","2026-01-19","TestUserDataValidation","test_users","",""
"Test getting different posts by ID.","93","test_get_different_posts[2]","tests","2026-01-19","passed","2026-01-19","TestPostsParameterized","test_posts","",""
"Test that all users have valid address structure.","96","test_all_users_have_valid_address_structure[5]","tests","2026-01-19","passed","2026-01-19","TestUserAddress","test_users","",""
"Test that each user ID returns a unique user.","95","test_each_user_has_unique_id[1]","tests","2026-01-19","passed","2026-01-19","TestUserDataValidation","test_users","",""
"Test getting different posts by ID.","92","test_get_different_posts[1]","tests","2026-01-19","passed","2026-01-19","TestPostsParameterized","test_posts","",""
"Test deleting post returns 200 and empty object.","186","test_delete_post_success","tests","2026-01-19","passed","2026-01-19","TestDeletePost","test_posts","",""
"Test getting comments filtered by postId.","471","test_get_comments_by_post_id_success","tests","2026-01-19","passed","2026-01-19","TestGetCommentsByPostId","test_comments","",""
"Test that all users have valid address structure.","97","test_all_users_have_valid_address_structure[3]","tests","2026-01-19","passed","2026-01-19","TestUserAddress","test_users","",""
"Test getting different posts by ID.","93","test_get_different_posts[3]","tests","2026-01-19","passed","2026-01-19","TestPostsParameterized","test_posts","",""
"Test that each user ID returns a unique user.","97","test_each_user_has_unique_id[6]","tests","2026-01-19","passed","2026-01-19","TestUserDataValidation","test_users","",""
"Test that each user ID returns a unique user.","98","test_each_user_has_unique_id[4]","tests","2026-01-19","passed","2026-01-19","TestUserDataValidation","test_users","",""
"Test getting non-existing post returns 404.","93","test_get_non_existing_post","tests","2026-01-19","passed","2026-01-19","TestGetPostByIdNegative","test_posts","",""
"Test that different comments have consistent structure.","95","test_different_comments_structure[1]","tests","2026-01-19","passed","2026-01-19","TestCommentStructure","test_comments","",""
